id,class_name,中文名称,类别,生态解释
0,Cyprinidae_fish,鲤科鱼类,鱼类,淡水河流中常见类群；可作为鱼类组成和栖息地连通性调查对象。
1,Salmonidae_fish,鲑科鱼类,鱼类,通常对低温和高溶解氧环境较敏感；出现情况可提示冷水性栖息地质量。
2,Siluridae_fish,鲇科鱼类,鱼类,多与缓流、底栖觅食环境相关；适合用于鱼类群落结构记录。
3,Cobitidae_fish,鳅科鱼类,鱼类,多在底层活动，对底质类型和微栖息地较敏感。
4,Gobiidae_fish,虾虎鱼科鱼类,鱼类,常与河岸浅水区和底质结构有关，可辅助判断局地栖息地异质性。
5,Centrarchidae_fish,太阳鱼科鱼类,鱼类,部分种类具有外来入侵风险；需结合地区背景解释。
6,Percidae_fish,鲈形目/鲈科近缘淡水鱼类,鱼类,常用于淡水鱼类多样性和食物网结构记录。
7,Ephemeroptera_nymph,蜉蝣目稚虫,底栖动物,多数类群对有机污染较敏感，常作为较好水质和栖息地条件的指示类群。
8,Plecoptera_nymph,襀翅目稚虫,底栖动物,通常对低溶解氧和污染较敏感，常见于清洁、流速较高的水体。
9,Trichoptera_larva,毛翅目幼虫,底栖动物,与底质结构、流速和水质条件有关，常用于底栖完整性评价。
10,Chironomidae_larva,摇蚊幼虫,底栖动物,耐受性较强，高密度出现可能提示有机污染或底泥富营养化。
11,Oligochaeta,寡毛类,底栖动物,常与有机质丰富或底泥淤积环境相关，可作为污染耐受类群。
12,Gastropoda,腹足类/螺类,底栖动物,与水生植被、附着基质和钙质环境相关，部分种类可指示缓流生境。
13,Bivalvia,双壳类,底栖动物,滤食性类群，常用于底栖动物群落和水体颗粒物环境记录。
14,Limnoperna_fortunei,淡水壳菜/金贻贝,底栖动物,外来入侵和工程附着风险类群；检出后建议开展密度调查和设施风险核查。
